Ich bin nach 1945 geboren folgedessen geht mir alles am Arsch vorbei was vor dieser Zeit geschehen ist. Ich fühle mich nicht schuldig und werde es auch niemals tun. Auch werde ich mir niemals eine Mitschuld einreden lassen nur weil ich Deutscher bin.	offense	profanity	none
So hat es in Schweden auch begonnen. Mit Burka ist man auf jedenfall sicherer als in 90ies Outfit. Das waren noch Zeiten.	offense	abuse	none
Wenn die Flugzeugführer Angst haben vor Migranten, müssen die Herrschaften eben in Handschellen abgeschoben werden. Wo sind wir denn?	none	none	none
Vor der Wahl u. nach der Wahl 😂😂😂 Merkel würde beweisen, ES GEHT NOCH SCHLIMMER, denn irre bleibt irre 😜	offense	insult	none
Noch nix von Neusprech und political correctness gehört? Linke zeigen einen an und mobben einen aus der Gesellschaft, wenn man unbequeme Wahrheiten benennt. Man ist ein Hetzer... Im alten Testament nannte man solche Leute Propheten	none	none	none
ja das ist was Kinder so aufem kindergartenspielplatz so anstellen und daraus ist der glaube der Moslems endstanden.	offense	abuse	none
Ich frage mich warum Mein Kampf aber nicht der kleine Terroristenratgeber KORAN verboten war !?!?	offense	abuse	none
Schickt diese ISIS-Schlampe nach Syrien!✈️	offense	abuse	sexism
Ich möchte nicht wissen, wann die Jungs das letzte Mal oder überhaupt mal irgendwas mit wir sind stolz auf Euch gehört haben.Während Ihr Euch nämlich den A..im Ausland aufreisst,feiern die Fachkräfte hier ständig #Koeln.Wir denken an Euch. #timeforchange #AfD	offense	profanity	none
Auf die Bewährung schei.......ss ich!	offense	profanity	none
Eine Entschuldigung würde Rückgrat voraussetzen...in einem derart linksgestrickten und realtätverzerrtem Klima nicht mehr oft zu finden...	offense	abuse	none
Hallo Freunde Absurdistan hat mich wieder. Gerade mit `nem Geschenk für Murksel aus PL zurück. Ein Kopftuch für die Zweitfrau des Sultans😜	offense	abuse	sexism
BILD Lasst die ISIS-Schlampe wo sie ist.Ein Gefährder weniger.	offense	abuse	sexism
Sind selbst Schuld die Dummen Girlies die unbedingt Modell werden wollen,	offense	insult	sexism
Den hätte ich absaufen lassen!	offense	abuse	none
Diese Jugendlichen sind die Politiker der islamischen Parteien von morgen. Das Gedankengut wurd seine Früchte tragen. Steht auf Leute!!!	offense	abuse	none
Freundchen, studiere die Weltgeschichte mal etwas genauer. In jenen Ländern, in denen Vollverschleierung (nur für Frauen) Pflicht ist, gab!!!! Es einst Kultur und #Vielfalt. Vor!!!!! der #Islamisierung. Bevor du jetzt meckerst, geh bitte Frauen im Iran vor Steinigung retten!	offense	abuse	sexism
#Halbneger ( also zum Glück nicht ganzer) und ein gerügter Mitarbeiter - Wieviel Relativismus und Abgestumpftheit, bezahlt vom Steuerzahler, bedarf es eigentlich noch, um klar zu werden, das was nicht stimmt in unserem Land ?! Un’ welche Revolution noma‘ ?	offense	profanity	none
Unsere Gedanken sind heute Abend bei den Opfern vom #Breitscheidplatz und ihren Familien. #Israel steht an der Seite Deutschlands. #Berlin	none	none	none
Ich suche eine bezahlbare Wohnung für eine junge Familie mit 2Kindern. Ist unmöglich da alle von Asylanten beansprucht werden und unser Staat auch Mieten ,wie hoch sie sein mögen,von unseren Steuern bezahlt !	offense	abuse	none
gut. dann macht jetzt in der eu jeder was er will... solange es ihre linie ist, finden sie das bestimmt prima.	none	none	none
